"Date","Price","Open","High","Low","Vol.","Change %"
"01-06-2026","600.47","630.40","635.75","599.53","29.14M","-5.07%"
"29-05-2026","632.51","633.50","634.50","623.35","19.81M","-0.44%"
"28-05-2026","635.29","639.49","643.00","629.31","16.77M","0.01%"
"27-05-2026","635.26","609.40","638.50","609.00","23.14M","3.74%"
"26-05-2026","612.34","608.89","614.47","605.30","12.23M","0.34%"
"22-05-2026","610.26","607.88","614.81","606.95","11.69M","0.47%"
"21-05-2026","607.38","600.00","609.60","594.81","13.48M","0.38%"
"20-05-2026","605.06","600.76","608.00","597.81","11.33M","0.41%"
"19-05-2026","602.61","608.92","613.93","600.55","11.75M","-1.41%"
"18-05-2026","611.21","609.10","615.59","603.69","13.77M","-0.49%"
"15-05-2026","614.23","613.99","621.20","609.31","13.27M","-0.68%"
"14-05-2026","618.43","616.00","623.73","615.00","10.65M","0.29%"
"13-05-2026","616.63","598.83","619.90","596.66","14.63M","2.26%"
"12-05-2026","603.00","594.82","603.74","592.60","11.35M","0.69%"
"11-05-2026","598.86","604.57","604.91","598.08","15.94M","-1.77%"
"08-05-2026","609.63","615.20","616.77","606.06","13.56M","-1.16%"
"07-05-2026","616.81","614.72","624.98","613.54","12.31M","0.64%"
"06-05-2026","612.88","601.05","619.95","598.10","19.92M","1.31%"
"05-05-2026","604.96","613.31","614.35","600.36","17.17M","-0.89%"
"04-05-2026","610.41","607.93","614.00","602.75","16.20M","0.27%"
"01-05-2026","608.74","614.69","618.88","606.11","21.40M","-0.52%"
"30-04-2026","611.91","619.32","620.85","600.00","52.76M","-8.55%"
"29-04-2026","669.12","668.91","674.25","663.81","18.95M","-0.33%"
"28-04-2026","671.34","674.24","678.18","665.63","10.61M","-1.07%"
"27-04-2026","678.62","670.99","682.50","670.84","12.81M","0.53%"
"24-04-2026","675.03","660.32","680.67","653.84","13.35M","2.41%"
"23-04-2026","659.15","663.70","669.56","653.05","11.67M","-2.31%"
"22-04-2026","674.72","674.35","678.38","669.75","9.22M","0.88%"
"21-04-2026","668.84","671.00","676.20","667.33","8.66M","-0.31%"
"20-04-2026","670.91","681.36","683.38","668.00","12.53M","-2.56%"
"17-04-2026","688.55","678.60","691.52","675.13","16.28M","1.73%"
"16-04-2026","676.87","675.99","677.58","667.75","9.54M","0.79%"
"15-04-2026","671.58","667.00","678.50","664.22","14.95M","1.37%"
"14-04-2026","662.49","643.22","666.26","639.37","17.82M","4.41%"
"13-04-2026","634.53","629.50","635.00","624.40","9.54M","0.74%"
"10-04-2026","629.86","634.47","638.58","624.33","13.29M","0.23%"
"09-04-2026","628.39","626.97","637.50","623.00","19.01M","2.61%"
"08-04-2026","612.42","606.00","629.95","591.83","32.04M","6.50%"
"07-04-2026","575.05","572.48","575.22","564.76","9.58M","0.35%"
"06-04-2026","573.02","577.69","582.79","572.00","9.52M","-0.25%"
"02-04-2026","574.46","566.03","578.50","559.70","13.52M","-0.82%"
"01-04-2026","579.23","580.13","592.55","573.82","23.61M","1.24%"
"31-03-2026","572.13","549.98","573.69","546.77","32.90M","6.67%"
"30-03-2026","536.38","536.38","539.55","528.54","22.80M","2.03%"
"27-03-2026","525.72","540.10","543.60","520.26","30.13M","-3.99%"
"26-03-2026","547.54","582.49","583.00","543.35","35.78M","-7.96%"
"25-03-2026","594.89","598.74","603.67","593.40","12.59M","0.33%"
"24-03-2026","592.92","599.10","601.00","591.00","10.74M","-1.84%"
"23-03-2026","604.06","605.79","608.64","599.01","13.64M","1.75%"
"20-03-2026","593.66","603.53","603.96","587.25","21.21M","-2.15%"
"19-03-2026","606.70","612.15","613.00","602.26","13.25M","-1.46%"
"18-03-2026","615.68","616.34","622.65","614.61","11.73M","-1.12%"
"17-03-2026","622.66","627.98","636.55","621.70","10.35M","-0.76%"
"16-03-2026","627.45","632.00","634.75","623.10","15.13M","2.24%"
"13-03-2026","613.71","623.89","629.17","609.55","18.96M","-3.83%"
"12-03-2026","638.18","648.75","653.50","636.90","11.62M","-2.55%"
"11-03-2026","654.86","654.76","659.12","648.36","8.98M","0.12%"
"10-03-2026","654.07","653.56","660.30","649.00","9.86M","1.03%"
"09-03-2026","647.39","634.78","647.75","626.78","13.49M","0.39%"
"06-03-2026","644.86","647.90","649.47","636.11","13.16M","-2.38%"
"05-03-2026","660.57","661.93","670.70","650.31","13.34M","-1.07%"
"04-03-2026","667.73","657.96","672.77","657.67","10.81M","1.93%"
"03-03-2026","655.08","648.29","659.04","638.84","12.26M","0.23%"
"02-03-2026","653.56","637.16","659.94","634.50","9.82M","0.83%"
"27-02-2026","648.18","643.45","649.44","638.12","15.70M","-1.34%"
"26-02-2026","657.01","650.55","661.00","647.50","10.64M","0.51%"
"25-02-2026","653.69","642.53","653.88","642.14","11.33M","2.25%"
"24-02-2026","639.30","633.08","641.11","628.98","10.14M","0.32%"
"23-02-2026","637.25","652.54","657.70","636.00","8.61M","-2.81%"
"20-02-2026","655.66","639.68","663.35","638.78","14.18M","1.69%"
"19-02-2026","644.78","638.57","647.19","636.72","10.04M","0.24%"
"18-02-2026","643.22","633.80","645.00","628.15","14.65M","0.61%"
"17-02-2026","639.29","639.49","642.60","628.80","12.67M","-0.08%"
"13-02-2026","639.77","645.10","651.43","634.57","12.34M","-1.55%"
"12-02-2026","649.81","669.97","676.00","645.28","14.96M","-2.82%"
"11-02-2026","668.69","674.00","679.27","657.10","14.32M","-0.30%"
"10-02-2026","670.72","677.60","680.65","669.79","10.46M","-0.96%"
"09-02-2026","677.22","663.18","683.31","658.78","14.84M","2.38%"
"06-02-2026","661.46","665.49","671.99","646.50","18.16M","-1.31%"
"05-02-2026","670.21","663.58","681.50","653.50","17.13M","0.18%"
"04-02-2026","668.99","687.73","688.83","667.46","16.88M","-3.28%"
"03-02-2026","691.70","707.37","717.00","686.41","13.76M","-2.08%"
"02-02-2026","706.41","714.60","721.30","703.52","14.37M","-1.41%"
"30-01-2026","716.50","727.50","732.17","713.59","23.74M","-2.95%"
"29-01-2026","738.31","737.43","744.00","712.55","59.85M","10.40%"
"28-01-2026","668.73","674.50","677.68","666.10","25.71M","-0.63%"
"27-01-2026","672.97","674.59","676.82","664.66","13.30M","0.09%"
"26-01-2026","672.36","665.13","675.28","661.29","16.33M","2.06%"
"23-01-2026","658.76","644.77","666.49","644.45","22.80M","1.72%"
"22-01-2026","647.63","629.35","660.57","626.55","21.39M","5.66%"
"21-01-2026","612.96","606.74","618.27","600.08","14.49M","1.46%"
"20-01-2026","604.12","607.88","611.40","600.00","15.17M","-2.60%"
"16-01-2026","620.25","624.18","629.08","620.08","17.01M","-0.09%"
"15-01-2026","620.80","618.48","624.17","614.23","13.08M","0.86%"
"14-01-2026","615.52","626.50","628.45","614.82","15.53M","-2.47%"
"13-01-2026","631.09","642.27","642.27","624.10","18.03M","-1.69%"
"12-01-2026","641.97","652.53","653.97","641.22","14.80M","-1.70%"
"09-01-2026","653.06","645.43","654.95","642.85","11.63M","1.08%"
"08-01-2026","646.06","645.88","647.10","635.72","11.92M","-0.41%"
"07-01-2026","648.69","655.64","659.15","644.81","12.85M","-1.81%"
"06-01-2026","660.62","659.57","665.52","651.90","11.07M","0.28%"
"05-01-2026","658.79","651.01","664.54","647.75","12.21M","1.29%"
"02-01-2026","650.41","662.72","664.39","643.50","13.73M","-1.47%"
"31-12-2025","660.09","664.75","665.00","659.44","7.94M","-0.88%"
"30-12-2025","665.95","658.69","672.22","657.84","9.19M","1.10%"
"29-12-2025","658.69","658.01","660.25","654.39","8.51M","-0.69%"
"26-12-2025","663.29","668.06","668.95","661.32","7.13M","-0.64%"
"24-12-2025","667.55","662.53","668.18","662.20","5.63M","0.39%"
"23-12-2025","664.94","660.05","666.00","658.25","8.49M","0.52%"
"22-12-2025","661.50","661.65","673.58","656.65","15.66M","0.41%"
"19-12-2025","658.77","666.42","671.00","658.18","49.98M","-0.85%"
"18-12-2025","664.45","657.03","670.56","656.46","20.26M","2.30%"
"17-12-2025","649.50","655.61","661.23","649.20","15.60M","-1.16%"
"16-12-2025","657.15","643.50","662.54","643.20","14.31M","1.49%"
"15-12-2025","647.51","645.70","653.00","638.70","15.55M","0.51%"
"12-12-2025","644.23","649.80","711.00","638.61","14.02M","-1.30%"
"11-12-2025","652.71","643.29","655.28","640.79","13.06M","0.40%"
"10-12-2025","650.13","649.95","654.51","643.40","16.91M","-1.04%"
"09-12-2025","656.96","663.77","664.48","653.34","13.00M","-1.48%"
"08-12-2025","666.80","669.34","676.71","665.07","13.16M","-0.98%"
"05-12-2025","673.42","664.00","674.69","662.39","21.21M","1.80%"
"04-12-2025","661.53","676.00","676.10","660.05","29.87M","3.43%"
"03-12-2025","639.60","644.41","648.85","637.55","11.13M","-1.16%"
"02-12-2025","647.10","642.34","647.87","638.07","11.64M","0.97%"
"01-12-2025","640.87","639.55","645.32","637.76","13.03M","-1.09%"
"28-11-2025","647.95","636.08","648.05","635.50","11.03M","2.26%"
